id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401114220,2019,4,regular,2019-09-21T01:00:00.000Z,,USC,Pac-12,Utah,Pac-12,radio,ESPNRM
401117506,2019,4,regular,2019-09-21T01:00:00.000Z,,Boise State,Mountain West,Air Force,Mountain West,tv,ESPN2
401114262,2019,4,regular,2019-09-21T00:00:00.000Z,,Louisiana Tech,Conference USA,Florida International,Conference USA,tv,CBSSN
401112456,2019,4,regular,2019-09-21T23:30:00.000Z,,Clemson,ACC,Charlotte,Conference USA,tv,ACCN
401110797,2019,4,regular,2019-09-21T16:00:00.000Z,,Alabama,SEC,Southern Mississippi,Conference USA,tv,ESPN2
401110800,2019,4,regular,2019-09-22T00:00:00.000Z,,Georgia,SEC,Notre Dame,FBS Independents,tv,CBS
401110805,2019,4,regular,2019-09-21T16:00:00.000Z,,Vanderbilt,SEC,LSU,SEC,tv,SECN
401112253,2019,4,regular,2019-09-21T19:30:00.000Z,,Ohio State,Big Ten,Miami (OH),Mid-American,tv,BTN
401110804,2019,4,regular,2019-09-21T19:30:00.000Z,,Texas A&M,SEC,Auburn,SEC,tv,CBS
401110799,2019,4,regular,2019-09-21T16:00:00.000Z,,Florida,SEC,Tennessee,SEC,tv,ESPN
401110799,2019,4,regular,2019-09-21T16:00:00.000Z,,Florida,SEC,Tennessee,SEC,radio,ESPNRM
401112224,2019,4,regular,2019-09-21T16:00:00.000Z,,Wisconsin,Big Ten,Michigan,Big Ten,tv,FOX
401112125,2019,4,regular,2019-09-21T23:30:00.000Z,,Texas,Big 12,Oklahoma State,Big 12,tv,ABC
401112461,2019,4,regular,2019-09-21T19:30:00.000Z,,Pittsburgh,ACC,UCF,American Athletic,tv,ABC
401112461,2019,4,regular,2019-09-21T19:30:00.000Z,,Pittsburgh,ACC,UCF,American Athletic,tv,ESPN2
401114195,2019,4,regular,2019-09-21T23:00:00.000Z,,Stanford,Pac-12,Oregon,Pac-12,tv,ESPN
401114215,2019,4,regular,2019-09-22T02:30:00.000Z,,Washington State,Pac-12,UCLA,Pac-12,tv,ESPN
401112463,2019,4,regular,2019-09-21T23:00:00.000Z,,Virginia,ACC,Old Dominion,Conference USA,tv,ESPN2
401114235,2019,4,regular,2019-09-21T19:30:00.000Z,,BYU,FBS Independents,Washington,Pac-12,tv,ABC
401114235,2019,4,regular,2019-09-21T19:30:00.000Z,,BYU,FBS Independents,Washington,Pac-12,tv,ESPN2
401110801,2019,4,regular,2019-09-21T16:00:00.000Z,,Ole Miss,SEC,California,Pac-12,tv,ESPNU
